name,number,N,class_,class_sf,class_A,class_B,class_C,class_D,class_E,class_K,class_L,class_M,class_O,class_P,class_Q,class_R,class_S,class_V,class_X,class_Z,e,h,k
Eunomia,15,1,K,K,0.0,0.0,2.7E-5,0.0,0.0,0.797854,0.0,0.003069,0.0,5.0E-6,1.85E-4,0.0,0.19886,0.0,0.0,0.0,,,
Psyche,16,5,Mk,M,0.0,2.99E-4,0.014685,3.14E-4,0.0,0.007969,3.0E-6,0.652405,0.0,0.321309,0.0,0.0,0.002559,0.0,4.56E-4,0.0,0,0,1
Thetis,17,3,S,S,0.0,0.0,5.0E-6,0.0,0.0,0.0,0.228094,0.0,0.0,0.0,3.0E-6,4.0E-6,0.771894,0.0,0.0,0.0,,,
Melpomene,18,3,S,S,0.0,0.0,3.0E-6,0.0,0.0,1.8E-5,8.83E-4,2.29E-4,0.0,0.0,1.0E-6,0.0,0.998866,0.0,0.0,0.0,,,
Fortuna,19,4,Ch,Ch,0.0,0.00531,0.567067,0.0,0.0,6.3E-5,0.0,0.014205,0.0,0.407477,0.0,0.0,0.005877,0.0,0.0,0.0,,1,
Massalia,20,3,S,S,0.0,0.0,0.001447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174629,1.31E-4,0.823791,2.0E-6,0.0,0.0,,,
Lutetia,21,5,M,M,0.0,8.27E-4,0.008883,0.0,0.0,0.298305,0.00652,0.517213,0.0,6.2E-5,0.0,0.0,0.00249,0.0,0.165699,0.0,0,,0
Kalliope,22,5,Mk,M,0.0,1.0E-6,0.0,0.086113,0.0,3.69E-4,0.0,0.618304,0.0,0.003499,0.0,0.0,0.001756,0.0,0.289958,0.0,0,,1
Thalia,23,3,S,S,0.0,0.0,4.0E-5,0.0,0.0,8.0E-6,2.94E-4,6.1E-5,0.0,0.0,9.9E-5,2.3E-5,0.999475,1.0E-6,0.0,0.0,,,
Themis,24,3,C,C,0.0,0.031137,0.957175,0.0,0.0,0.0,0.0,0.002089,0.0,0.006869,0.0,0.0,0.00273,0.0,0.0,0.0,,0,
Phocaea,25,5,S,S,4.3E-5,0.0,2.9E-5,0.0,0.0,2.0E-6,2.72E-4,1.4E-5,0.0,0.0,3.7E-5,0.0,0.999535,6.7E-5,0.0,0.0,,,
Proserpina,26,2,S,S,0.0,0.0,1.0E-6,0.0,0.0,6.0E-6,0.0,0.0,0.0,0.0,1.98E-4,6.08E-4,0.999188,0.0,0.0,0.0,,,
Euterpe,27,2,S,S,1.0E-6,0.0,2.8E-5,0.0,2.0E-6,1.0E-6,0.009359,0.006235,0.0,5.0E-6,2.9E-5,0.0,0.984329,1.0E-5,0.0,0.0,,,
Bellona,28,3,S,S,0.0,0.0,6.0E-5,0.0,0.0,2.0E-6,4.17E-4,9.0E-6,0.0,0.0,0.003401,0.0,0.996111,0.0,0.0,0.0,,,
Amphitrite,29,4,S,S,0.011183,0.0,3.7E-5,0.0,5.0E-6,0.002621,0.026444,0.057796,0.0,7.6E-5,1.1E-5,0.0,0.901822,3.0E-6,0.0,0.0,,,
Urania,30,3,S,S,2.0E-6,0.0,7.0E-6,0.0,0.0,9.69E-4,0.113309,0.001063,0.0,2.9E-5,2.0E-5,0.0,0.8846,0.0,0.0,0.0,,,
Euphrosyne,31,3,C,C,0.0,0.006845,0.85147,0.0,0.0,0.0,0.0,3.5E-5,0.0,0.130267,0.0,0.0,0.011383,0.0,0.0,0.0,,0,
Pomona,32,4,S,S,0.0,0.0,4.6E-5,1.0E-6,0.0,4.4E-5,1.0E-6,1.7E-5,0.0,2.82E-4,4.0E-6,4.8E-5,0.974887,1.0E-6,0.024669,0.0,,0,
Polyhymnia,33,3,S,S,4.84E-4,0.0,0.003911,0.0,0.0,1.0E-6,0.0,1.0E-6,0.0,0.0,0.039102,6.6E-4,0.95572,1.19E-4,0.0,0.0,,,
Circe,34,2,Ch,Ch,0.0,0.007947,0.969855,0.0,0.0,0.020907,1.5E-5,1.4E-5,0.0,0.0,1.0E-6,0.0,0.001259,0.0,0.0,0.0,,1,
Leukothea,35,1,C,C,0.0,0.007136,0.876519,0.0,0.0,1.0E-6,0.0,7.2E-5,0.0,0.107991,0.0,0.0,0.00828,0.0,0.0,0.0,,0,
Atalante,36,2,Ch,Ch,0.0,2.25E-4,0.411722,0.0,0.0,9.0E-6,0.0,0.002169,0.0,0.582624,0.0,0.0,0.003249,0.0,0.0,0.0,,1,
Fides,37,4,S,S,0.0,0.0,1.8E-5,0.0,0.0,0.0,0.003125,5.9E-5,0.0,0.0,6.1E-5,0.0,0.996736,0.0,0.0,0.0,,,
Leda,38,4,Ch,Ch,1.0E-6,0.004787,0.485722,4.0E-6,0.0,5.4E-5,0.0,1.14E-4,0.0,0.501938,0.0,0.0,0.007381,0.0,0.0,0.0,,1,
Laetitia,39,4,S,S,7.4E-5,0.0,5.0E-6,0.0,4.0E-6,8.31E-4,2.3E-5,1.73E-4,0.0,0.0,1.42E-4,1.0E-6,0.998745,0.0,0.0,0.0,,,
Harmonia,40,1,S,S,0.0,0.0,9.2E-5,0.0,0.0,0.003608,0.0,0.001354,0.0,0.0,0.001757,0.0,0.993189,0.0,0.0,0.0,,,
Daphne,41,4,Ch,Ch,0.0,0.001107,0.952904,0.0,0.0,0.036533,1.0E-6,0.006534,0.0,1.8E-5,0.0,0.0,0.002904,0.0,0.0,0.0,,1,
Isis,42,2,Mk,M,0.007184,0.0,0.0,0.0,0.0,0.219227,0.0,0.399403,0.0,0.003538,0.0,0.0,0.370647,0.0,0.0,0.0,,,1
Ariadne,43,3,S,S,1.0E-5,0.0,1.0E-6,0.0,7.0E-6,5.0E-6,0.0,0.0,0.0,0.0,1.36E-4,3.89E-4,0.999451,1.0E-6,0.0,0.0,,,
Nysa,44,3,Ek,E,2.0E-6,1.5E-5,0.040537,0.0,0.443411,0.21842,0.203385,0.072305,0.0,0.0,3.0E-6,0.0,0.019681,0.0,0.00224,0.0,0,,1
Eugenia,45,3,C,C,0.0,0.142943,0.802111,0.0,0.0,0.0,0.0,5.0E-6,0.0,0.049639,0.0,0.0,0.003757,0.0,0.001544,0.0,,0,
Hestia,46,2,P,P,0.0,0.006298,0.087171,0.0,0.0,0.0,0.0,4.06E-4,0.0,0.90561,0.0,0.0,5.14E-4,0.0,0.0,0.0,0,0,
Aglaja,47,3,C,C,0.0,0.017385,0.866578,0.0,0.0,0.0,0.0,0.033594,0.0,0.07684,0.0,0.0,0.005602,0.0,0.0,0.0,,0,
Doris,48,1,Ch,Ch,0.0,0.037555,0.962328,0.0,0.0,0.0,0.0,0.0,0.0,1.16E-4,0.0,0.0,0.0,0.0,0.0,0.0,,1,
Pales,49,2,Ch,Ch,0.0,0.001228,0.884387,0.0,0.0,0.114279,2.8E-5,6.0E-6,0.0,0.0,1.0E-6,0.0,7.0E-5,0.0,0.0,0.0,,1,
Virginia,50,3,Ch,Ch,0.0,0.007077,0.754096,0.0,0.0,0.0,0.0,0.0,0.0,0.238804,1.0E-6,0.0,2.2E-5,0.0,0.0,0.0,,1,
Nemausa,51,3,Ch,Ch,2.0E-6,4.0E-6,1.87E-4,0.029779,0.0,0.002843,8.0E-6,0.453657,0.0,0.488983,0.0,0.0,0.024536,0.0,0.0,0.0,0,1,1
Europa,52,2,C,C,0.0,0.01274,0.837807,0.0,0.0,0.0,0.0,1.6E-5,0.0,0.143123,0.0,0.0,0.006314,0.0,0.0,0.0,,0,
Kalypso,53,1,Ch,Ch,0.0,1.3E-5,0.992818,0.0,0.0,0.0,0.0,0.0,0.0,2.0E-6,0.0,0.0,0.007167,0.0,0.0,0.0,,1,
Alexandra,54,3,Ch,Ch,0.0,0.001596,0.817584,0.0,0.0,0.006781,0.0,2.77E-4,0.0,0.173103,3.0E-6,0.0,6.57E-4,0.0,0.0,0.0,,1,
Pandora,55,5,Mk,M,0.0,0.0,6.0E-6,1.0E-6,0.348115,0.013439,0.0,0.634269,0.0,0.002705,0.0,0.0,0.001465,0.0,0.0,0.0,0,,1
Melete,56,3,P,P,0.037107,0.00694,0.009104,0.0,0.0,0.003714,0.0,0.016355,0.0,0.786908,0.0,0.0,0.063585,0.0,0.0,0.076286,0,0,
Mnemosyne,57,3,S,S,0.0,0.0,1.4E-5,0.0,0.0,4.0E-6,1.22E-4,7.4E-5,0.0,0.0,5.0E-5,0.0,0.999733,1.0E-6,0.0,0.0,,,
Concordia,58,4,Ch,Ch,0.0,0.005336,0.964168,3.0E-6,0.0,0.024036,7.0E-6,9.0E-6,0.0,0.00482,0.0,0.0,0.001621,0.0,0.0,0.0,,1,
Elpis,59,1,C,C,0.0,0.00596,0.938717,0.0,0.0,0.0,0.0,9.0E-6,0.0,0.053788,0.0,0.0,0.001527,0.0,0.0,0.0,,0,
Echo,60,1,S,S,0.0,0.0,2.15E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02318,0.0,0.976603,3.0E-6,0.0,0.0,,,
Danae,61,4,S,S,0.0,0.0,1.9E-5,0.0,0.0,0.0,4.12E-4,2.0E-6,0.0,0.0,7.5E-5,0.0,0.999487,5.0E-6,0.0,0.0,,,
Erato,62,3,Ch,Ch,0.0,0.259344,0.740443,0.0,0.0,0.0,0.0,6.9E-5,0.0,1.19E-4,4.0E-6,0.0,1.0E-6,0.0,2.0E-5,0.0,,1,
Ausonia,63,3,S,S,3.0E-6,0.0,0.0,0.0,0.0,0.0,0.002147,1.0E-6,0.0,0.0,2.0E-6,5.7E-5,0.997788,1.0E-6,0.0,0.0,,,
Angelina,64,3,Eek,E,0.0,1.0E-6,0.0,0.0,0.935942,0.0,0.054145,0.005487,0.0,0.0,0.0,0.0,0.004424,0.0,0.0,0.0,1,,1
Cybele,65,3,P,P,0.0,1.99E-4,0.314115,1.0E-6,0.0,2.0E-6,0.0,1.8E-5,0.0,0.509079,0.0,0.0,0.176585,1.0E-6,0.0,0.0,0,0,
Maja,66,3,Ch,Ch,0.0,0.001645,0.997707,0.0,0.0,0.0,0.0,1.0E-6,0.0,3.0E-6,0.0,0.0,6.43E-4,0.0,0.0,0.0,,1,
Asia,67,2,S,S,0.0,0.0,8.2E-5,0.0,0.0,1.21E-4,0.0,0.0,0.0,0.0,0.006184,6.0E-6,0.993607,0.0,0.0,0.0,,,
Leto,68,2,S,S,4.08E-4,0.0,3.0E-6,0.0,0.0,0.038728,0.0,0.008407,0.0,1.0E-6,1.1E-5,4.4E-5,0.952395,4.0E-6,0.0,0.0,,,
Hesperia,69,5,Mk,M,0.0,1.6E-5,3.57E-4,9.0E-6,2.0E-6,0.008469,5.0E-6,0.984633,0.0,0.004932,0.0,0.0,0.001577,0.0,0.0,0.0,0,,1
Panopaea,70,3,Ch,Ch,0.0,0.001265,0.974166,0.0,0.0,0.015818,2.0E-6,0.003651,0.0,4.2E-5,3.0E-6,0.0,0.005054,0.0,0.0,0.0,,1,
Niobe,71,2,M,M,0.0,2.0E-6,6.0E-6,0.0,0.268362,0.0,0.248872,0.437258,0.0,4.0E-6,8.0E-6,0.0,0.045487,0.0,0.0,0.0,0,,0
Feronia,72,1,P,P,1.0E-6,0.0,0.0,0.004389,0.0,0.026545,1.6E-5,0.016724,0.0,0.951814,0.0,0.0,5.12E-4,0.0,0.0,0.0,,0,
Klytia,73,1,S,S,0.0,0.0,1.6E-5,0.0,0.0,0.0,0.001219,0.0,0.0,0.0,0.0,0.0,0.998764,0.0,0.0,0.0,,,
Galatea,74,2,C,C,0.0,0.113802,0.494505,1.0E-6,0.0,3.2E-5,2.1E-5,3.66E-4,0.0,0.391157,4.0E-6,0.0,1.13E-4,0.0,0.0,0.0,,0,
Eurydike,75,1,M,M,0.0,0.0,1.0E-6,0.0,0.0,0.190294,0.0,0.770391,0.0,0.029574,0.0,0.0,0.00974,0.0,0.0,0.0,0,,0
Freia,76,1,P,P,0.0,0.001281,0.0,0.0,0.0,0.0,0.0,6.3E-5,0.0,0.998655,0.0,0.0,1.0E-6,0.0,0.0,0.0,0,0,
Frigga,77,5,Mk,M,1.0E-6,1.9E-5,6.0E-6,0.009669,5.3E-5,0.029159,0.160508,0.772374,0.0,0.016702,0.0,0.0,0.011507,2.0E-6,0.0,0.0,0,,1
Diana,78,3,Ch,Ch,0.0,0.004346,0.542899,0.0,0.0,0.0,0.0,1.12E-4,0.0,0.443398,0.0,0.0,0.009245,0.0,0.0,0.0,,1,
Eurynome,79,1,S,S,0.0,0.0,3.3E-5,0.0,0.0,1.2E-5,0.0,8.0E-6,0.0,0.0,1.66E-4,2.0E-6,0.99978,0.0,0.0,0.0,,,
Sappho,80,2,S,S,0.0,0.0,1.6E-5,0.0,0.0,2.6E-5,0.0,0.0,0.0,0.0,0.016612,2.0E-6,0.983342,1.0E-6,0.0,0.0,,,
Terpsichore,81,2,C,C,0.0,0.016544,0.766957,7.0E-6,0.0,0.0,0.0,1.18E-4,0.0,0.213192,0.0,0.0,0.003182,0.0,0.0,0.0,0,0,
Alkmene,82,3,S,S,0.0,0.0,0.002171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037822,0.0,0.960004,3.0E-6,0.0,0.0,,,
Beatrix,83,1,C,C,0.0,0.001147,0.647779,0.0,0.0,0.017166,0.0,0.098395,0.0,0.169124,0.0,0.0,0.066389,0.0,0.0,0.0,,0,
Klio,84,4,Ch,Ch,0.0,6.32E-4,0.874788,0.0,0.0,3.05E-4,0.0,0.009707,0.0,6.83E-4,0.0,0.0,0.002536,0.0,0.0,0.111349,,1,
Io,85,3,Ch,Ch,0.0,0.024684,0.472913,0.0,0.0,1.0E-5,0.0,0.017898,0.0,0.47061,0.0,0.0,0.013884,0.0,0.0,0.0,0,1,
Semele,86,2,Ch,Ch,0.0,0.003902,0.602512,4.0E-6,0.0,0.0,0.0,4.81E-4,0.0,0.389004,0.0,0.0,0.004096,0.0,0.0,0.0,,1,
Sylvia,87,3,P,P,0.0,1.06E-4,0.00295,4.0E-6,0.0,0.0,0.0,0.0,0.0,0.996906,0.0,0.0,3.4E-5,0.0,0.0,0.0,0,0,
Thisbe,88,3,P,P,0.0,0.039585,0.425291,2.0E-6,0.0,0.031872,1.0E-6,0.001488,0.0,0.501711,4.0E-6,0.0,4.7E-5,0.0,0.0,0.0,0,0,
Julia,89,3,S,S,0.121422,0.0,0.0,0.0,4.0E-6,0.115616,0.0,0.324296,0.0,6.85E-4,0.0,0.0,0.437976,0.0,0.0,0.0,0,,0
Antiope,90,4,Mk,M,0.0,0.013196,0.321969,0.0,0.0,2.0E-5,0.0,0.387507,0.0,0.264589,1.0E-6,0.0,0.012718,0.0,0.0,0.0,0,1,1
Aegina,91,2,Ch,Ch,0.0,9.69E-4,0.977613,0.0,0.0,3.0E-6,0.0,5.0E-6,0.0,0.01691,0.0,0.0,0.0045,0.0,0.0,0.0,,1,
Undina,92,1,Mk,M,0.0,0.0,3.79E-4,0.0,7.5E-5,0.164947,0.0,0.715686,0.0,0.054038,0.0,0.0,0.064874,0.0,0.0,0.0,0,,1
Minerva,93,3,C,C,0.0,0.108548,0.717615,1.0E-6,0.0,5.7E-5,2.5E-5,0.00534,0.0,0.168138,4.0E-6,0.0,2.72E-4,0.0,0.0,0.0,,0,
Aurora,94,1,P,P,3.0E-6,6.03E-4,2.25E-4,7.0E-6,0.0,0.0,0.0,1.79E-4,0.0,0.998818,0.0,0.0,1.65E-4,0.0,0.0,0.0,0,0,
Arethusa,95,3,Ch,Ch,0.0,0.001136,0.811497,0.0,0.0,0.0,0.0,9.0E-5,0.0,0.180298,0.0,0.0,0.00698,0.0,0.0,0.0,,1,
Aegle,96,1,P,P,0.0,1.0E-6,0.0,6.8E-5,0.0,9.0E-6,0.0,0.002311,0.0,0.997602,0.0,0.0,9.0E-6,0.0,0.0,0.0,0,0,
Klotho,97,5,M,M,0.0,0.012515,0.001702,0.0,6.71E-4,0.294697,0.243518,0.401974,0.0,6.7E-5,0.0,0.0,0.044856,0.0,0.0,0.0,,,0
Ianthe,98,2,Ch,Ch,0.0,0.002939,0.491457,0.0,0.0,0.0,0.0,3.19E-4,0.0,0.500869,0.0,0.0,0.004416,0.0,0.0,0.0,,1,
Dike,99,2,C,C,0.0,0.002322,0.918689,0.0,0.0,0.036678,3.0E-6,0.033689,0.0,1.6E-5,0.0,0.0,0.008602,0.0,0.0,0.0,,0,
Hekate,100,1,S,S,0.0,0.0,6.0E-6,0.0,0.0,0.0,0.0019,3.4E-5,0.0,0.0,0.0,0.0,0.998059,0.0,0.0,0.0,,,
Helena,101,2,S,S,0.0,0.0,6.1E-5,0.0,0.0,0.0,2.0E-6,0.0,0.0,0.0,3.8E-4,0.0,0.999557,1.0E-6,0.0,0.0,,,
Miriam,102,1,C,C,0.0,0.006628,0.993124,0.0,0.0,1.71E-4,0.0,1.4E-5,0.0,6.1E-5,1.0E-6,0.0,2.0E-6,0.0,0.0,0.0,,0,
Hera,103,2,S,S,0.0,0.0,8.0E-6,0.0,0.0,6.0E-6,0.0,0.0,0.0,0.0,2.51E-4,4.0E-6,0.99973,0.0,0.0,0.0,,,
Klymene,104,4,Ch,Ch,0.0,0.009932,0.9291,0.0,0.0,1.89E-4,0.0,2.6E-5,0.0,0.050178,0.0,0.0,0.010574,0.0,0.0,0.0,,1,
Artemis,105,4,Ch,Ch,0.0,1.4E-4,0.995557,0.0,0.0,1.48E-4,0.0,2.0E-6,0.0,3.0E-6,0.0,0.0,0.00415,0.0,0.0,0.0,,1,
Dione,106,3,Ch,Ch,0.0,0.001282,0.766954,0.0,0.0,2.0E-6,0.0,0.003154,0.0,0.142909,0.0,0.0,0.085698,0.0,0.0,0.0,,1,
Camilla,107,3,Ch,Ch,0.0,2.79E-4,0.053552,1.0E-6,0.0,0.0,0.0,1.42E-4,0.0,0.910777,0.0,0.0,7.25E-4,0.0,0.034525,0.0,0,1,
Hecuba,108,2,S,S,3.0E-6,0.0,0.0,0.0,0.0,3.0E-6,4.0E-6,4.0E-6,0.0,0.0,0.0,0.0,0.999986,0.0,0.0,0.0,,,
Felicitas,109,2,Ch,Ch,0.0,0.009539,0.827449,0.0,0.0,0.022783,0.0,0.002811,0.0,0.045197,1.0E-6,0.0,0.092219,0.0,0.0,0.0,,1,
Lydia,110,5,Mk,M,0.0,1.0E-6,1.8E-5,5.8E-5,0.0,2.3E-5,0.0,0.58933,0.0,0.007958,0.0,0.0,1.8E-5,0.0,0.402594,0.0,0,,1
Ate,111,2,Ch,Ch,0.0,0.014693,0.84568,0.0,0.0,0.005273,1.01E-4,8.16E-4,0.0,0.132963,0.0,0.0,4.75E-4,0.0,0.0,0.0,,1,
Iphigenia,112,3,Ch,Ch,0.0,0.002157,0.72658,0.0,0.0,0.001,0.010566,2.3E-5,0.0,0.259138,0.0,0.0,5.34E-4,0.0,0.0,0.0,,1,
Amalthea,113,2,S,S,0.409993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0E-6,0.0,0.589831,1.68E-4,0.0,0.0,,,
Kassandra,114,1,Mk,M,0.0,1.29E-4,1.0E-6,0.0,0.0,8.6E-5,0.0,0.51679,0.0,0.482844,0.0,0.0,1.51E-4,0.0,0.0,0.0,0,,1
Thyra,115,4,S,S,0.0,0.0,5.1E-5,0.0,0.0,8.1E-5,1.1E-5,0.001741,0.0,1.0E-6,0.002158,0.0,0.995654,1.0E-6,3.02E-4,0.0,,,
Sirona,116,2,S,S,0.0,0.0,3.65E-4,0.0,0.0,1.76E-4,5.16E-4,7.51E-4,0.0,0.0,0.004631,0.0,0.99356,1.0E-6,0.0,0.0,,,
Lomia,117,3,C,C,0.0,0.011635,0.776214,3.8E-5,0.0,0.023509,7.0E-5,0.014717,0.0,0.173704,5.0E-6,0.0,1.07E-4,0.0,0.0,0.0,,0,
Peitho,118,2,S,S,0.0,0.0,9.4E-5,0.0,0.0,0.0,1.0E-6,0.0,0.0,0.0,0.007309,0.0,0.992597,0.0,0.0,0.0,,,
Althaea,119,3,S,S,8.0E-6,0.0,1.2E-4,0.0,0.0,0.0,0.034654,0.001851,0.0,2.0E-6,1.3E-5,0.0,0.963177,1.74E-4,0.0,0.0,,,
Lachesis,120,2,C,C,0.0,0.014416,0.974468,0.0,0.0,0.010462,2.0E-6,4.41E-4,0.0,1.95E-4,2.0E-6,0.0,1.2E-5,0.0,0.0,0.0,,0,
Hermione,121,3,Ch,Ch,0.0,1.48E-4,0.321835,4.0E-6,0.0,2.78E-4,0.0,4.8E-5,0.0,0.677484,0.0,0.0,2.02E-4,0.0,0.0,0.0,,1,
Gerda,122,1,S,S,6.8E-5,0.0,0.0,0.0,0.0,3.0E-6,0.006905,0.001874,0.0,2.0E-6,0.0,0.0,0.991147,0.0,0.0,0.0,,,
Brunhild,123,1,S,S,0.0,0.0,5.1E-5,0.0,0.0,0.0,1.5E-5,0.0,0.0,0.0,1.1E-5,0.0,0.999918,5.0E-6,0.0,0.0,,,
Alkeste,124,2,S,S,0.0,0.0,0.00123,0.0,0.0,8.0E-6,6.37E-4,3.1E-4,0.0,1.0E-6,0.015922,0.0,0.981637,2.53E-4,0.0,0.0,,,
Liberatrix,125,4,Mk,M,5.0E-6,5.7E-5,0.003508,0.0,1.0E-5,0.011243,0.0,0.684587,0.0,0.003648,0.0,0.0,0.296942,0.0,0.0,0.0,0,,1
Velleda,126,1,S,S,3.0E-6,0.0,1.0E-4,0.0,0.0,1.1E-5,0.0,0.0,0.0,0.0,4.13E-4,0.004117,0.995247,1.1E-4,0.0,0.0,,,
Johanna,127,2,Ch,Ch,0.0,4.7E-5,0.329109,0.0,0.0,6.0E-6,0.0,3.91E-4,0.0,0.67041,0.0,0.0,3.8E-5,0.0,0.0,0.0,,1,
Nemesis,128,3,C,C,0.0,0.027969,0.800955,0.0,0.0,1.0E-5,0.0,0.002896,0.0,0.146024,0.0,0.0,0.022146,0.0,0.0,0.0,0,0,
Antigone,129,5,Mk,M,1.0E-6,0.0,2.0E-6,7.0E-6,1.0E-6,0.006436,2.1E-5,0.986144,0.0,0.005982,0.0,0.0,0.001406,0.0,0.0,0.0,0,,1
Elektra,130,4,Ch,Ch,2.1E-5,3.73E-4,0.413104,2.0E-6,0.0,0.0,0.0,0.00796,0.0,0.557715,0.0,0.0,0.002014,0.0,0.018809,0.0,0,1,
Vala,131,2,S,S,0.0,3.0E-5,0.001351,0.0,0.0,0.032642,0.0,0.380068,0.0,0.010863,3.0E-6,0.0,0.575043,0.0,0.0,0.0,0,,
Aethra,132,2,K,K,0.0,3.1E-5,1.79E-4,0.0,0.376154,0.453348,0.0,0.06671,0.0,0.001618,3.0E-6,0.0,0.101955,0.0,0.0,0.0,,,
Cyrene,133,3,S,S,4.0E-6,0.0,5.0E-6,0.0,0.0,5.0E-6,1.0E-6,5.0E-6,0.0,0.0,6.4E-5,4.5E-5,0.999818,5.3E-5,0.0,0.0,,,
Sophrosyne,134,3,Ch,Ch,0.0,0.008074,0.954135,0.0,0.0,8.27E-4,0.0,3.2E-5,0.0,0.033175,0.0,0.0,0.003756,0.0,0.0,0.0,,1,
Hertha,135,5,Mk,M,1.0E-6,0.0,4.3E-5,2.0E-6,6.4E-5,0.010207,0.001138,0.95685,0.0,0.023383,0.0,0.0,0.008313,0.0,0.0,0.0,0,,1
Austria,136,3,Me,M,1.0E-6,1.0E-6,3.3E-5,0.0,4.0E-6,0.014523,0.062498,0.912322,0.0,0.005649,0.0,0.0,0.00497,0.0,0.0,0.0,1,,0
Meliboea,137,2,Ch,Ch,0.0,0.005481,0.475023,0.0,0.0,4.35E-4,0.0,0.00156,0.0,0.517153,1.0E-6,0.0,3.47E-4,0.0,0.0,0.0,,1,
Tolosa,138,1,S,S,1.04E-4,0.0,0.0,0.0,0.0,0.04876,0.0,0.001589,0.0,2.0E-6,3.0E-6,1.0E-6,0.949541,0.0,0.0,0.0,,,
Juewa,139,2,P,P,0.0,6.28E-4,0.287708,0.0,0.0,0.0,0.0,7.52E-4,0.0,0.701361,0.0,0.0,0.009552,0.0,0.0,0.0,0,0,
Siwa,140,4,P,P,0.044929,2.85E-4,0.199038,1.77E-4,0.0,1.05E-4,2.0E-6,0.024553,0.0,0.433227,5.0E-6,0.0,0.292606,1.0E-5,0.0,0.005063,0,0,
Lumen,141,2,Ch,Ch,0.0,0.00281,0.306265,0.0,0.0,0.0,0.0,1.8E-4,0.0,0.677908,0.0,0.0,0.012836,0.0,0.0,0.0,,1,
Polana,142,3,C,C,0.0,0.05256,0.933182,0.0,0.0,0.0,0.0,8.0E-5,0.0,0.009664,0.0,0.0,0.004514,0.0,0.0,0.0,,0,
Adria,143,3,Pe,P,0.0,0.002426,0.179632,0.0,0.0,1.0E-6,0.0,0.026433,0.0,0.780076,0.0,0.0,0.011432,0.0,0.0,0.0,1,0,
Vibilia,144,3,Ch,Ch,0.0,5.96E-4,0.536889,4.0E-6,0.0,0.0,0.0,0.001624,0.0,0.451186,0.0,0.0,0.009701,0.0,0.0,0.0,,1,
